parent_model,dataset,numshot,student_model,mean_auc,mean_complexity
tabllm,albert,64,ttnet,0.5539,558.2
tabllm,albert,64,xgboost,0.5908,1012.0
tabllm,albert,64,logistic_rule_regression,0.5993,23.0
tabllm,albert,64,logistic_regression,0.5729,194.0
tabllm,albert,64,decision_tree,0.5212,19.0
tabllm,albert,16,ttnet,0.5395,714.4
tabllm,albert,16,xgboost,0.5984,78.0
tabllm,albert,16,logistic_rule_regression,0.5,0.0
tabllm,albert,16,logistic_regression,0.5467,194.0
tabllm,albert,16,decision_tree,0.5058,107.8
tabllm,albert,4,ttnet,0.4878,914.4
tabllm,albert,4,xgboost,0.4912,228.6
tabllm,albert,4,logistic_rule_regression,0.5,0.0
tabllm,albert,4,logistic_regression,0.484,194.0
tabllm,albert,4,decision_tree,0.5002,21.4
tabllm,albert,8,ttnet,0.5661,759.4
tabllm,albert,8,xgboost,0.623,8764.0
tabllm,albert,8,logistic_rule_regression,0.5951,12.0
tabllm,albert,8,logistic_regression,0.5691,194.0
tabllm,albert,8,decision_tree,0.556,19.8
tabllm,albert,32,ttnet,0.5688,697.0
tabllm,albert,32,xgboost,0.6329,316.4
tabllm,albert,32,logistic_rule_regression,0.6081,8.8
tabllm,albert,32,logistic_regression,0.5916,194.0
tabllm,albert,32,decision_tree,0.6101,16.6
tabllm,albert,256,ttnet,0.5611,778.2
tabllm,albert,256,xgboost,0.5674,5324.6
tabllm,albert,256,logistic_rule_regression,0.5765,17.0
tabllm,albert,256,logistic_regression,0.6134,194.0
tabllm,albert,256,decision_tree,0.5364,35.4
tabllm,albert,128,ttnet,0.5894,773.0
tabllm,albert,128,xgboost,0.6415,14168.6
tabllm,albert,128,logistic_rule_regression,0.6443,39.4
tabllm,albert,128,logistic_regression,0.6202,194.0
tabllm,albert,128,decision_tree,0.6037,7.0
tabllm,blood,64,ttnet,0.6446,71.6
tabllm,blood,64,xgboost,0.6669,3015.2
tabllm,blood,64,logistic_rule_regression,0.6649,47.0
tabllm,blood,64,logistic_regression,0.6407,8.0
tabllm,blood,64,decision_tree,0.6513,427.4
tabllm,blood,16,ttnet,0.7267,59.2
tabllm,blood,16,xgboost,0.7075,2287.4
tabllm,blood,16,logistic_rule_regression,0.7257,32.0
tabllm,blood,16,logistic_regression,0.7413,8.0
tabllm,blood,16,decision_tree,0.6665,314.6
tabllm,blood,4,ttnet,0.5495,46.6
tabllm,blood,4,xgboost,0.5669,2664.8
tabllm,blood,4,logistic_rule_regression,0.5276,30.4
tabllm,blood,4,logistic_regression,0.5518,8.0
tabllm,blood,4,decision_tree,0.518,174.2
tabllm,blood,8,ttnet,0.7273,67.8
